SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,SPP_CHANGE,START_NA,END_NA,LUMP_TO,NA_NOTE,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
MEAE,Mediaster,,MEAE,,.,.,INVERT,SWATH,REMOVE,,,,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BA,Megabalanus californicus,Barnacles,BA,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,394981,Species,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Megabalanus,Megabalanus,californicus
MECR,Megathura crenulata,Giant Key Hole Limpet,MECR,.,4,25,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,527885,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,.,.
SFL,Mesocentrotus franciscanus,Red Urchin,SFL,adult (>=2.5cm),2.5,15,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
SFL,Mesocentrotus franciscanus,Red Urchin,SFL,adult (>=2.5cm),2.5,15,INVERT,URCHINS,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
SFS,Mesocentrotus franciscanus,Red Urchin,SFL,juvenile (<2.5cm),1,2.49,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
SFS,Mesocentrotus franciscanus,Red Urchin,SFL,juvenile (<2.5cm),1,2.49,INVERT,URCHINS,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,591102,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,Strongylocentrotus,franciscanus
MISE,Metridium dianthus,Clonal Plumose Anemone,MISE,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,158251,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,.,.
MIID,Mitra idae,Ida's Mitre,MIID,.,0.25,7,INVERT,QUAD,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,416832,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitridae,Mitra,.,.
MUCA,Muricea californica,California Golden Gorgonian,MUCA,adult (> 5cm),2,67,INVERT,SWATH,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,287556,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUCA,Muricea californica,California Golden Gorgonian,MUCA,any size,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,287556,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUCAJ,Muricea californica,California Golden Gorgonian,MUCA,juvenile (<5cm),1,4.9,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,287556,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUFR,Muricea fruticosa,Brown Gorgonian,MUFR,.,3,60,INVERT,UPC,KEEP,,,,FIRST COUNTED 11/2018,PLANKTIVORE,HARD,SESSILE,SOLITARY,287562,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
MUFR,Muricea fruticosa,Brown Gorgonian,MUFR,.,3,60,INVERT,SWATH,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,287562,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Muricea,.,.
BRAY,Myliobatis californica,Bat Ray,BRAY,.,30,150,FISH,FISH,KEEP,,,,,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,271485,Species,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,.,.
MC,Mytilus californianus,California Mussel,MC,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,367837,Species,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,.,.
CYSP,Neobernaya spadicea,Chestnut Cowry,CYSP,.,2,8,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,580674,Species,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Neobernaya,.,.
NBLA,Neoclinus blanchardi ,Sarcastic Fringehead,NBLA,.,3,20,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281679,Species,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,.,.
NA,Nienburgia andersoniana,.,NA,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372617,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,.,.
NA,Nienburgia andersoniana,.,NA,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372617,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Nienburgia,.,.
NONO,Norrisia norrisii,Norris's Topsnail,NONO,.,1,7,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,534181,Species,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Norrisia,.,.
OBSP,Obelia,Wine-Glass Hydroid,OBSP,.,.,.,INVERT,UPC,KEEP,7/1/00,7/1/05,,May have been previously recorded as UIH; likely too rare to detect prior to 2005,PLANKTIVORE,HARD,SESSILE,AGGREGATED,117034,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Campanulariidae,Obelia,.,.
OCTO,Octopus,.,OCTO,.,.,.,INVERT,QUAD,REMOVE,,,,Count added to swath data - usually in the field ,MACROCARNIVORE,HARD,MOBILE,SOLITARY,138268,Genus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,.,.
OCTO,Octopus,.,OCTO,.,4,52,INVERT,SWATH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,138268,Genus,Animalia,Mollusca,Cephalopoda,Octopoda,Octopodidae,Octopus,.,.
OELO,Ophiodon elongatus,Lingcod,OELO,.,20,80,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,240745,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Ophiodon,.,.
OPES,Ophioplocus esmarki,Smooth Brittle Star,OPES,.,1,6,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,MOBILE,SOLITARY,243980,Species,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiolepididae,Ophioplocus,.,.
OPES,Ophioplocus esmarki,Smooth Brittle Star,OPES,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,MOBILE,SOLITARY,243980,Species,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiolepididae,Ophioplocus,.,.
OPSP,Ophiothrix spiculata,Spiny Brittle Star,OPSP,.,0.25,6,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,MOBILE,SOLITARY,244192,Species,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiotrichidae,Ophiothrix,.,.
OKL,Orthasterias koehleri,Rainbow Star,OKL,adult (>=2.5cm),2.5,25,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,255048,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,.,.
OKS,Orthasterias koehleri,Rainbow Star,OKL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,255048,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,.,.
LX,Osmundea spectabilis,.,LX,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372624,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Osmundea,Laurencia,spectabilis
OCAL,Oxyjulis californica,Senorita,OCAL,.,2,30,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240727,Species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Oxyjulis,.,.
OPIC,Oxylebius pictus,Painted Greenling,OPIC,.,1,20,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240743,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Oxylebius,.,.
PAFI,Pachycerianthus fimbriatus,Tube Dwelling Anemone,PAFI,.,1,5,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,SOFT,SESSILE,SOLITARY,283820,Species,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,.,.
PAFI,Pachycerianthus fimbriatus,Tube Dwelling Anemone,PAFI,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,SOFT,SESSILE,SOLITARY,283820,Species,Animalia,Cnidaria,Anthozoa,Spirularia,Cerianthidae,Pachycerianthus,.,.
PRUB,Pachythyone rubra,.,PRUB,.,0.5,43,INVERT,QUAD,KEEP,7/1/00,7/1/07,,Previously not recorded in quads; rare on mainland,PLANKTIVORE,HARD,SESSILE,SOLITARY,529582,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,.,.
PRUB,Pachythyone rubra,.,PRUB,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529582,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Pachythyone,.,.
PAIN,Panulirus interruptus,California Spiny Lobster,PAIN,.,2.5,15,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,382898,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Palinuridae,Panulirus,.,.
PAST,Paracyathus stearnsi,Brown Cup Coral,PAST,.,0.5,2,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,286830,Species,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Paracyathus,.,.
PAST,Paracyathus stearnsi,Brown Cup Coral,PAST,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,286830,Species,Animalia,Cnidaria,Anthozoa,Scleractinia,Caryophylliidae,Paracyathus,.,.
PCLA,Paralabrax clathratus,Kelp Bass,PCLA,.,4,70,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,282054,Species,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,.,.
PNEB,Paralabrax nebulifer,Barred Sandbass,PNEB,.,4,65,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,282059,Species,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Paralabrax,.,.
PCAL,Paralichthys californicus,California Halibut,PCAL,.,10,105,FISH,FISH,KEEP,,,,,MACROCARNIVORE,SOFT,MOBILE,SOLITARY,275809,Species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Paralichthys,.,.
PACA,Parapholas californica,Scaleside Piddock,PACA,.,0.1,4.5,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,507009,Species,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,Parapholas,.,.
PACA,Parapholas californica,Scaleside Piddock,PACA,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,507009,Species,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,Parapholas,.,.
AML,Patiria miniata,Bat Star,AML,adult (>=2.5cm),2.5,21,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,382131,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Asterina,miniata
AMLD,Patiria miniata,Bat Star Wasting Disease,AML,.,.,.,INVERT,SWATH,REMOVE,,,,Remove - diseased sea stars should be included in total count AND counted separately,MESOCARNIVORE,HARD,MOBILE,SOLITARY,382131,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Asterina,miniata
AMS,Patiria miniata,Bat Star,AML,juvenile (<2.5cm),1,2.49,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,382131,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Asterina,miniata
UBB,Phaeophyceae,Unidentified brown blade,UBB,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,830,Class,Chromista,Ochrophyta,Phaeophyceae,.,.,.,.,.
UBB,Phaeophyceae,Unidentified brown blade,UBB,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,830,Class,Chromista,Ochrophyta,Phaeophyceae,.,.,.,.,.
PFUR,Phanerodon furcatus,White Surfperch,PFUR,.,4,40,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240730,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Phanerodon,.,.
PLAB,Phidolopora labiata,Lattice-Work Bryozoan,PLAB,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,711852,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Phidoloporidae,Phidolopora,.,.
PU,Pholadidae,Pholad Unidentified,PU,.,0.1,3,INVERT,QUAD,REMOVE,7/1/00,8/1/15,,Previously not actively recorded; sampling error of these may contribute to variability of clam abundance,PLANKTIVORE,HARD,SESSILE,SOLITARY,252,Family,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,.,.,.
PU,Pholadidae,Pholad Unidentified,PU,.,.,.,INVERT,UPC,REMOVE,,,,Not counted in early years - removed for consistency,PLANKTIVORE,HARD,SESSILE,SOLITARY,252,Family,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,.,.,.
PHOR,Phoronida,Phoronid,PHOR,.,.,.,INVERT,UPC,KEEP,7/1/00,7/1/10,,newly added spp; absent or too rare to detect prior to 2010,PLANKTIVORE,HARD,SESSILE,AGGREGATED,1789,Phylum,Animalia,Phoronida,.,.,.,.,.,.
PA,Phragmatopoma californica,Colonial Sand Tube Worm,PA,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,334501,Species,Animalia,Annelida,Polychaeta,.,Sabellariidae,Phragmatopoma,.,.
PHSE,Phycodrys setchellii,.,PHSE,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372630,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Phycodrys,.,.
PHSP,Phyllactis,Sand Anemone,PHSP,.,.,.,INVERT,UPC,KEEP,7/1/00,7/1/06,,May have been previously recorded as UNAN,PLANKTIVORE,HARD,SESSILE,AGGREGATED,267737,Genus,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Phyllactis,.,.
PHTO,Phyllospadix torreyi,Surfgrass,PHTO,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,374709,Species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Cymodoceaceae,Phyllospadix,.,.
PHTO,Phyllospadix torreyi,Surfgrass,PHTO,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,374709,Species,Plantae,Tracheophyta,Magnoliopsida,Alismatales,Cymodoceaceae,Phyllospadix,.,.
PISP,Pikea spp.,,PISP,.,.,.,ALGAE,UPC,LUMP,,,FTHR,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PBL,Pisaster brevispinus,Short Spined Sea Star,PBL,adult (>=2.5cm),2.5,50,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240757,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
PBS,Pisaster brevispinus,Short Spined Sea Star,PBL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240757,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
PGL,Pisaster giganteus,Giant Spined Sea Star,PGL,adult (>=2.5cm),2.5,57,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240758,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
PGLD,Pisaster giganteus,Giant Spined Sea Star Wasting Disease,PGL,adult (>=2.5cm),.,.,INVERT,SWATH,REMOVE,,,,Remove - diseased sea stars should be included in total count AND counted separately,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240758,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
PGS,Pisaster giganteus,Giant Spined Sea Star,PGL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240758,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
POL,Pisaster ochraceus,Ochre sea star,POL,adult (>=2.5cm),2.5,50,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240755,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
POS,Pisaster ochraceus,Ochre Sea Star,POL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240755,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,.,.
PIEL,Pista elongata,.,PIEL,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,330759,Species,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Pista,.,.
TDL,Plantae,Terrestrial detritus,.,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,.,.,.,3,Kingdom,Plantae,.,.,.,.,.,.,.
TDS,Plantae,Terrestrial detritus,.,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,.,.,.,3,Kingdom,Plantae,.,.,.,.,.,.,.
PLTR,Platyrhinoidis triseriata,Thornback Ray,PLTR,.,.,.,FISH,FISH,KEEP,,,,,MACROCARNIVORE,SOFT,MOBILE,SOLITARY,282280,Species,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Platyrhinoidis,.,.
PTRY,Platyrhinoidis triseriata,Thornback guitarfish ,PTRY,.,30,120,FISH,FISH,KEEP,,,,,MACROCARNIVORE,SOFT,MOBILE,SOLITARY,282280,Species,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Platyrhinoidis,.,.
PLCA,Plocamium cartilaginum,,PLCA,.,.,.,ALGAE,UPC,LUMP,,,FTHR,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PLUM,Plumularia,Hydroid,PLUM,.,.,.,INVERT,UPC,KEEP,7/1/00,7/1/05,,May have been previously recorded as UIH,PLANKTIVORE,HARD,SESSILE,AGGREGATED,117196,Genus,Animalia,Cnidaria,Hydrozoa,Leptothecata,Plumulariidae,Plumularia,.,.
POPL,Polyclinum planum,Elephant Ear Tunicate,POPL,.,2,18,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,251110,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Polyclinum,.,.
POPL,Polyclinum planum,Elephant Ear Tunicate,POPL,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,251110,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polyclinidae,Polyclinum,.,.
POLA,Polyneura latissima,.,POLA,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372634,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Polyneura,.,.
POLA,Polyneura latissima,.,POLA,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372634,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Polyneura,.,.
PONO,Porichthys notatus,Plainfin Midshipman,PONO,.,20,30,FISH,FISH,KEEP,,,,,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,275658,Species,Animalia,Chordata,Actinopterygii,Batrachoidiformes,Batrachoididae,Porichthys,.,
HIP,Primavelans mexicana,Southern Fluted Bryozoan,HIP,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,472024,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Pacificincolidae,Primavelans,Hippodiplosia,insculpta
PL,Prionitis lanceolata,.,PL,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,496247,Species,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,.,.
PL,Prionitis lanceolata,.,PL,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,496247,Species,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,.,.
PRSP,Prionitis linearis,.,PRSP,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,213821,Species,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,.,.
PRSP,Prionitis linearis,.,PRSP,.,.,.,ALGAE,UPC,KEEP,7/1/00,7/1/08,,May have been previously misidentified as R; assumed close to zero abundance in early years,PRODUCER,HARD,SESSILE,SOLITARY,213821,Species,Plantae,Rhodophyta,Florideophyceae,Halymeniales,Halymeniaceae,Prionitis,.,.
RPRO,Pseudobatos productus,Shovelnose Guitarfish,RPRO,.,7,110,FISH,FISH,KEEP,,,,,MACROCARNIVORE,SOFT,MOBILE,SOLITARY,1043469,Species,Animalia,Chordata,Elasmobranchii,Rajiformes,Rhinobatidae,Pseudobatos,.,.
PTTR,Pteropurpura trialata,Three-Winged Murex,PTTR,.,1,8,INVERT,QUAD,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,743650,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Pteropurpura,.,.
PTDE,Pterosiphonia dendroidia,,PTDE,.,.,.,ALGAE,UPC,LUMP,,,FR,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
PH,Pterygophora californica,.,PTCA,holdfast,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PTCA,Pterygophora californica,Palm Kelp,PTCA,adult stipe(>20 cm lgth >0.5 cm diam),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PTCA,Pterygophora californica,Palm Kelp,PTCA,adult stipe(>20 cm lgth >0.5 cm diam),0,28,ALGAE,SWATH,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PTJ,Pterygophora californica,.,PTCA,juvenile(<20 cm stipe length ),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PTJ,Pterygophora californica,.,PTCA,juvenile(<20 cm stipe length ),.,.,ALGAE,QUAD,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PTL,Pterygophora californica,.,PTCA,subadult (>20 cm stipe length < 0.5cm diam),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PTL,Pterygophora californica,.,PTCA,subadult (>20 cm stipe length < 0.5cm diam),.,.,ALGAE,QUAD,KEEP,7/1/00,1/1/08,,Previously counted as PTCA. We decide to zero filled this species from 2000 to 2007 because PTCA already account for its biomass,PRODUCER,HARD,SESSILE,SOLITARY,240750,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Alariaceae,Pterygophora,.,.
PUPR,Pugettia producta,Kelp Crab,PUPR,.,2,12,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,240780,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,.,.
PYST,Pycnoclavella stanleyi,Yellow Social Turnicate,PYST,.,.,.,INVERT,UPC,KEEP,7/1/00,7/1/05,,May have been previously misidentified as UT; likely too rare to detect prior to 2005,PLANKTIVORE,HARD,SESSILE,AGGREGATED,251245,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Pycnoclavella,.,.
PHL,Pycnopodia helianthoides,Sunflower Sea Star,PHL,adult (>=2.5cm),2.5,60,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240764,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,.,.
PHS,Pycnopodia helianthoides,Sunflower Sea Star,PHL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240764,Species,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,.,.
REKO,Renilla koellikeri,Sea Pansy,REKO,.,.,.,INVERT,QUAD,REMOVE,,,,,PLANKTIVORE,SOFT,SESSILE,SOLITARY,290961,Species,Animalia,Cnidaria,Anthozoa,Pennatulacea,Renillidae,Renilla,.,.
REKO,Renilla koellikeri,Sea Pansy,REKO,.,.,.,INVERT,UPC,REMOVE,,,,,PLANKTIVORE,SOFT,SESSILE,SOLITARY,290961,Species,Animalia,Cnidaria,Anthozoa,Pennatulacea,Renillidae,Renilla,.,.
RTOX,Rhacochilus toxotes,Rubberlip Surfperch,RTOX,.,10,45,FISH,FISH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,282575,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus,.,.
