YEAR,MONTH,DATE,SITE,TRANSECT,SECTION,SIDE,FRONDS,HLD_DIAM,MULT_PLANT,OBS_CODE,NOTES,ENTERED_BY,CHECKED_BY
2018,9,9/12/2018,IVEE,9,0-20,OFFSHORE,6,.,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,9,0-20,OFFSHORE,9,30,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,9,0-20,OFFSHORE,14,40,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,0-20,INSHORE,19,40,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,0-20,INSHORE,94,130,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,0-20,INSHORE,15,35,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,20-40,INSHORE,22,90,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,20-40,INSHORE,21,60,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,20-40,INSHORE,5,.,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,20-40,OFFSHORE,18,45,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,0-20,OFFSHORE,18,40,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,10,0-20,OFFSHORE,21,35,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,11,0-20,INSHORE,20,45,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,11,20-40,INSHORE,79,75,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,11,20-40,INSHORE,17,50,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,11,20-40,INSHORE,22,75,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,11,20-40,OFFSHORE,169,175,,JC,Dead,TW,RZ
2018,9,9/12/2018,IVEE,11,20-40,OFFSHORE,106,100,,JC,Middle with 165,TW,RZ
2018,9,9/12/2018,IVEE,11,20-40,OFFSHORE,111,190,,JC,Gap in middle,TW,RZ
2018,9,9/12/2018,IVEE,11,0-20,OFFSHORE,65,40,,JC,Dead in middle,TW,RZ
2018,9,9/12/2018,IVEE,11,0-20,OFFSHORE,17,45,,JC,,TW,RZ
2018,9,9/12/2018,IVEE,11,0-20,OFFSHORE,72,85,,JC,,TW,RZ
2018,9,9/14/2018,LEAD,1,0-20,OFFSHORE,4,20,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,0-20,OFFSHORE,47,38,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,0-20,OFFSHORE,6,17,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,0-20,OFFSHORE,3,.,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,20-40,OFFSHORE,10,18,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,20-40,OFFSHORE,51,50,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,20-40,OFFSHORE,23,60,,144,,TW,RZ
2018,9,9/14/2018,LEAD,1,0-20,INSHORE,15,40,,144,,TW,RZ
